카테고리,기능,메소드,URI,담당자,요청자,개발 여부,연동 여부,비고
[좌표 데이터],,,,,,,완료,
,지도에 찍을 손상(캡처) 좌표 데이터를 GeoJSON 형식으로 조회합니다.,GET,api/capture-points,김형표,FE,완료,완료,
,좌표 클릭 시 상세 정보 조회,GET,api/capture-points/{publicId},김형표,FE,완료,완료,"risk 값은 소수

status :
REPORTED(0), RECEIVED(1), IN_PROGRESS(2), COMPLETED(3);"
[데이터 전송],,,,,,,완료,
,손상 데이터를 GPU서버에서 BE로 전송한다.,POST,api/detect,김형표,GPU,완료,완료,
[손상 데이터],,,,,,,완료,
,도로 파손 건의 상태 변경,PATCH,api/damages/{damageId},김형표,FE,완료,완료,
[회원],,,,,,,완료,
,회원 가입 요청,POST,api/users/signup,김형표,FE,완료,완료,
,아이디 중복 체크,GET,api/users/id,김형표,FE,완료,완료,
,사용자 로그인 및 토큰 발급,POST,api/users/login,김형표,FE,완료,완료,
,유저 로그아웃 및 AccessToken 블랙리스트 등록 + RefreshToken 삭제,POST,api/users/logout,김형표,FE,완료,완료,
,AccessToken 재발급 API,POST,api/users/refresh,김형표,FE,완료,완료,
[통계],,,,,,,완료,
,도로균열 기준별 심각도 현황,GET,api/dashboard/risk,김형표,FE,완료,완료,
,도로파손 감지된 주소 개수,GET,api/dashboard/region-count,김형표,FE,완료,완료,
,유형별 도로파손 분포,GET,api/dashboard/type,김형표,FE,완료,완료,
,일간 도로파손 현황,GET,api/dashboard/daily,김형표,FE,완료,완료,
,주간 도로파손 현황,GET,api/dashboard/weekly,김형표,FE,완료,완료,
,월간 도로파손 현황,GET,api/dashboard/monthly,김형표,FE,완료,완료,
,월별 도로파손 누적 탐지 현황,GET,api/dashboard/monthly-summary,김형표,FE,완료,완료,
,지역별 도로파손 분포 지도,GET,api/dashboard/districts,김형표,FE,완료,완료,
,도로파손 분포 Top3 지역,GET,api/dashboard/top3,김형표,FE,완료,완료,
[유지보수 통계],,,,,,,완료,
,전체 보수공사(수리상태) 미완료/진행중/완료 개수,GET,api/maintenance/overview,김형표,FE,완료,완료,
,"일간, 주간, 월간 보수공사 완료 개수",GET,api/maintenance/completion-stats,김형표,FE,완료,완료,
,월별 보수공사 현황,GET,api/maintenance/monthly-status,김형표,FE,완료,완료,
,지역별 보수공사 현황,GET,api/maintenance/districts,김형표,FE,완료,완료,
[디바이스→카프카],,,,,,,완료,
,API 보내기,POST,api/upload,,,,완료,
[이미지],,,,,,,완료,
,GPU 서버용 이미지,GET,43.200.186.24/images/uuid.jpg,,,,완료,
,Web 서버용 이미지,GET,images/uuid.jpg,,,,완료,
